City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,New Norfolk,AU,71.1,light rain,-42.7826,147.0587,Woodbridge on the Derwent
3,Nishihara,JP,71.26,scattered clouds,26.1842,127.7558,ユインチホテル南城
5,Arraial Do Cabo,BR,76.57,overcast clouds,-22.9661,-42.0278,No hotel found
8,Alcantara,BR,77.2,heavy intensity rain,-2.4089,-44.4147,Pousada La Maison du Baron
9,Kapaa,US,76.98,few clouds,22.0752,-159.319,Pono Kai Resort
11,Ahipara,NZ,70.27,scattered clouds,-35.1667,173.1667,YHA Ahipara
12,Mataura,NZ,78.49,broken clouds,-46.1927,168.8643,No hotel found
14,Rikitea,PF,79.97,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
15,Macapa,BR,76.98,clear sky,0.0389,-51.0664,Hotel Norte
17,Vaini,TO,84.36,moderate rain,-21.2,-175.2,Keleti International Resort
19,Manado,ID,88.57,few clouds,1.487,124.8455,Swiss Belhotel
22,Carnarvon,AU,84.7,clear sky,-24.8667,113.6333,No hotel found
23,Kindu,CD,70.23,overcast clouds,-2.95,25.95,No hotel found
24,Port Alfred,ZA,71.69,moderate rain,-33.5906,26.891,No hotel found
31,Busselton,AU,76.53,clear sky,-33.65,115.3333,No hotel found
33,Katherine,AU,89.92,broken clouds,-14.4667,132.2667,No hotel found
35,Mumford,GH,77.22,scattered clouds,5.2618,-0.759,No hotel found
36,Bengkulu,ID,81.63,overcast clouds,-3.8004,102.2655,Dena Hotel
39,Pringsewu,ID,79.97,broken clouds,-5.3582,104.9744,No hotel found
44,Poum,NC,78.84,scattered clouds,-20.2333,164.0167,No hotel found
48,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Fidji Motel
50,Hobart,AU,71.46,light rain,-42.8794,147.3294,Vibe Hotel Hobart
52,Jundiai,BR,74.95,overcast clouds,-23.1864,-46.8842,Hotel IBIS Jundiaí
55,Cockburn Town,TC,77.43,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
58,Atuona,PF,79.52,broken clouds,-9.8,-139.0333,Pearl Resort
59,East London,ZA,71.67,light rain,-33.0153,27.9116,No hotel found
60,Avarua,CK,86.05,light rain,-21.2078,-159.775,Paradise Inn
63,Maceio,BR,74.64,few clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
