City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Podgornoye,RU,51.735,39.1496,16.02,92,100,4.47,overcast clouds
1,New Norfolk,AU,-42.7826,147.0587,71.1,44,76,9.37,light rain
2,Mpanda,TZ,-6.3655,31.0409,63.72,96,100,1.19,overcast clouds
3,Nishihara,JP,26.1842,127.7558,71.26,53,40,16.11,scattered clouds
4,Nikolskoye,RU,59.7035,30.7861,26.49,89,100,13.76,overcast clouds
5,Arraial Do Cabo,BR,-22.9661,-42.0278,76.57,89,100,23.8,overcast clouds
6,Lebu,CL,-37.6167,-73.65,58.15,72,0,19.17,clear sky
7,Novikovo,RU,51.1537,37.8879,1.2,100,92,4.29,overcast clouds
8,Alcantara,BR,-2.4089,-44.4147,77.2,91,100,5.68,heavy intensity rain
9,Kapaa,US,22.0752,-159.319,76.98,82,20,4.61,few clouds
10,Billings,US,45.7833,-108.5007,35.37,51,20,5.75,few clouds
11,Ahipara,NZ,-35.1667,173.1667,70.27,65,45,5.28,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,78.49,35,55,2.55,broken clouds
13,Saint Anthony,US,45.0205,-93.218,27.66,76,13,5.01,few clouds
14,Rikitea,PF,-23.1203,-134.9692,79.97,75,11,14.54,light rain
15,Macapa,BR,0.0389,-51.0664,76.98,94,0,3.44,clear sky
16,Yumen,CN,40.2833,97.2,20.88,46,0,9.73,clear sky
17,Vaini,TO,-21.2,-175.2,84.36,84,75,10.36,moderate rain
18,Akureyri,IS,65.6835,-18.0878,30.13,69,75,3.44,broken clouds
19,Manado,ID,1.487,124.8455,88.57,58,20,5.75,few clouds
20,Saldanha,ZA,-33.0117,17.9442,62.65,86,0,14.76,clear sky
21,Kaitangata,NZ,-46.2817,169.8464,69.39,56,13,9.4,few clouds
22,Carnarvon,AU,-24.8667,113.6333,84.7,44,0,16.06,clear sky
23,Kindu,CD,-2.95,25.95,70.23,83,100,0.51,overcast clouds
24,Port Alfred,ZA,-33.5906,26.891,71.69,90,99,2.26,moderate rain
25,Albany,US,42.6001,-73.9662,27.03,68,52,4.0,broken clouds
26,Presidente Epitacio,BR,-21.7633,-52.1156,69.49,90,55,5.3,broken clouds
27,Lithakia,GR,37.7167,20.8333,42.17,73,77,9.51,broken clouds
28,Ponta Delgada,PT,37.7333,-25.6667,56.12,88,20,3.44,few clouds
29,Saskylakh,RU,71.9167,114.0833,-33.36,100,99,2.98,overcast clouds
30,Novoagansk,RU,61.9449,76.6625,3.92,96,100,5.82,overcast clouds
31,Busselton,AU,-33.65,115.3333,76.53,47,0,1.77,clear sky
32,Gunnedah,AU,-30.9833,150.25,94.21,23,0,7.72,clear sky
33,Katherine,AU,-14.4667,132.2667,89.92,62,75,9.22,broken clouds
34,Kodinsk,RU,58.6881,99.1844,13.84,87,76,10.04,broken clouds
35,Mumford,GH,5.2618,-0.759,77.22,80,42,4.43,scattered clouds
