City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Northam,GB,2023-02-02 12:03:00,51.0333,-4.2167,52.39,96,100,17.76
1,Clyde River,CA,2023-02-02 12:03:00,70.4692,-68.5914,-28.97,68,75,12.66
2,Barrow,US,2023-02-02 12:03:00,71.2906,-156.7887,-5.78,77,0,16.11
3,Hobart,AU,2023-02-02 12:00:28,-42.8794,147.3294,53.46,84,75,8.05
4,New Norfolk,AU,2023-02-02 12:03:01,-42.7826,147.0587,53.1,77,100,2.01
5,Kyra,RU,2023-02-02 12:03:01,49.5776,111.9753,-0.24,91,77,5.64
6,Umm Lajj,SA,2023-02-02 12:03:02,25.0213,37.2685,69.57,44,4,10.67
7,Punta Arenas,CL,2023-02-02 11:59:32,-53.15,-70.9167,51.91,82,0,3.44
8,Busselton,AU,2023-02-02 12:03:02,-33.65,115.3333,78.08,43,1,12.95
9,Nizhniy Kuranakh,RU,2023-02-02 12:03:03,58.8353,125.4869,0.59,95,100,8.34
10,Thompson,CA,2023-02-02 12:03:03,55.7435,-97.8558,-30.84,68,0,12.66
11,Inyonga,TZ,2023-02-02 12:03:04,-6.7167,32.0667,83.3,50,15,1.5
12,Glodeni,MD,2023-02-02 12:03:04,47.7708,27.5144,43.3,52,88,10.63
13,Carutapera,BR,2023-02-02 12:03:04,-1.195,-46.02,74.82,96,100,3.09
14,Jamestown,US,2023-02-02 12:03:05,42.097,-79.2353,20.55,49,0,10.36
15,Atuona,PF,2023-02-02 12:03:05,-9.8,-139.0333,78.3,77,100,19.53
16,Matai,TZ,2023-02-02 12:03:06,-8.3,31.5167,70.83,73,55,3.4
17,Honningsvag,NO,2023-02-02 11:58:16,70.9821,25.9704,26.35,80,40,5.75
18,Labuhan,ID,2023-02-02 12:03:06,-6.8844,112.2051,76.48,89,100,14.12
19,Pierre,US,2023-02-02 12:00:04,44.3683,-100.351,16.86,72,100,25.99
20,Albany,US,2023-02-02 12:03:07,42.6001,-73.9662,21.02,78,93,3.31
21,Vila Franca Do Campo,PT,2023-02-02 11:58:41,37.7167,-25.4333,61.21,76,76,11.9
22,Luderitz,NA,2023-02-02 11:59:40,-26.6481,15.1594,77.9,54,21,28.79
23,Port Elizabeth,ZA,2023-02-02 12:03:07,-33.918,25.5701,80.1,62,0,9.22
24,Upernavik,GL,2023-02-02 12:03:08,72.7868,-56.1549,-14.44,90,60,2.24
25,Bluff,NZ,2023-02-02 12:03:08,-46.6,168.3333,61.79,98,100,9.73
26,Murdochville,CA,2023-02-02 12:03:08,48.9583,-65.5006,4.08,99,80,5.39
27,Tuktoyaktuk,CA,2023-02-02 12:03:09,69.4541,-133.0374,-29.27,98,9,6.98
28,Nanortalik,GL,2023-02-02 12:03:09,60.1432,-45.2371,20.23,79,100,23.76
29,Ladario,BR,2023-02-02 12:03:09,-19.0047,-57.6017,82.69,78,20,5.75
